time_s,centered_signal,filtered_signal,is_peak
267.86,-0.31049677451497515,-0.012316873101119985,0
267.88,-0.30451638235811646,-0.012525923359118694,0
267.9,-0.3222712843188653,-0.01272910799347235,0
267.92,-0.3413389926522353,-0.01292514037667352,0
267.94,-0.3406098259855693,-0.01311272135395106,0
267.96,-0.33988065931890343,-0.01329054797833781,0
267.98,-0.3281546176522384,-0.013457322416058504,0
268.0,-0.31448795098558463,-0.013611760951153512,0
268.02,-0.3008212843189309,-0.013752603024025721,0
268.04,-0.33497440931889905,-0.013878620242381836,0
268.06,-0.32341190931891,-0.01398862530046487,0
268.08,-0.31184940931892097,-0.014081480733842341,0
268.1,-0.32215310250072177,-0.014156107426444645,0
268.12,-0.3336076479552554,-0.014211492777516297,0
268.14,-0.3432379509855645,-0.01424669842904298,0
268.16,-0.34333707379258444,-0.014260867449178455,0
268.18,-0.34070549484521917,-0.014253230866617637,0
268.2,-0.33807391589785396,-0.01422311345722769,0
268.22,-0.33115171910150215,-0.014169938697085674,0
268.24,-0.3286349206825425,-0.014093232812257533,0
268.26,-0.3349985570461723,-0.013992627871730485,0
268.28000000000003,-0.34136219340982016,-0.01386786388382414,0
268.3,-0.33724350654111995,-0.013718789868206464,0
268.32,-0.328632395430017,-0.013545363887102767,0
268.34000000000003,-0.33169436124198637,-0.013347652032114223,0
268.36,-0.33605333560095824,-0.013125826377068297,0
268.38,-0.3351536372600777,-0.012880161920907943,0
268.4,-0.33412593548169267,-0.012611032556994757,0
268.42,-0.3335445401328544,-0.012318906117140972,0
268.44,-0.332980467992371,-0.012004338551128584,0
268.46,-0.33257230472706556,-0.01166796731532382,0
268.48,-0.332164141461759,-0.01131050405656709,0
268.5,-0.3314970907705148,-0.010932726689354886,0
268.52,-0.3304039373801248,-0.010535470975321367,0
268.54,-0.3267304679923652,-0.010119621724136335,0
268.56,-0.32305699860461606,-0.009686103743969457,0
268.58,-0.3283505526115735,-0.009235872677169047,0
268.6,-0.338472503831106,-0.008769905862274134,0
268.62,-0.33290059466372784,-0.00828919336715098,0
268.64,-0.31727786326628027,-0.007794729341309959,0
268.66,-0.3039883895820479,-0.00728750383954683,0
268.68,-0.2939834055310232,-0.006768495272626905,0
268.7,-0.2938318903795081,-0.006238663639496885,0
268.72,-0.29368037522799256,-0.005698944685074886,0
268.74,-0.2935288600764775,-0.005150245106758049,0
268.76,-0.3208337843189086,-0.004593438903769998,0
268.78000000000003,-0.31138065931887426,-0.004029364930783728,0
268.8,-0.29274111190510776,-0.003458825685741988,0
268.82,-0.2942066291464859,-0.002882587334817642,0
268.84000000000003,-0.29567214638786815,-0.0023013809546027844,0
268.86,-0.3019498557474753,-0.0017159049490768005,0
268.88,-0.3226641414617695,-0.0011268285737611704,0
268.9,-0.3263508297734466,-0.0005347964732111384,0
268.92,-0.3270326479552654,5.9565884520760594e-05,0
268.94,-0.3253212843189035,0.0006556460069310046,0
268.96,-0.3186276672976393,0.0012528375442052916,0
268.98,-0.3063936247444308,0.001850532955195037,0
269.0,-0.29461274773353974,0.002448115795491236,0
269.02,-0.2914420160262253,0.0030449527443786864,0
269.04,-0.28827128431890187,0.0036403854858042192,0
269.06,-0.29622582977344314,0.004233722563731254,0
269.08,-0.30418037522798447,0.004824231343802444,0
269.1,-0.3049712843189012,0.0054111302279828185,0
269.12,-0.30397128431890263,0.005993581282542178,0
269.14,-0.3152551552866358,0.006570683448893631,0
269.16,-0.32510291697195404,0.007141466509962002,0
269.18,-0.3214294475842049,0.0077048859817180435,0
269.2,-0.31775597819645574,0.008259819089874143,0
269.22,-0.32332431462193684,0.008805061975065639,0
269.24,-0.32757230472707544,0.009339328247098985,0
269.26,-0.31124577411483817,0.009861248982159265,0
269.28000000000003,-0.2949192435025545,0.01036937422801585,0
269.3,-0.28934820739582473,0.010862176052984444,0
269.32,-0.2951462843188868,0.011338053147948767,0
269.34000000000003,-0.311083784318917,0.011795336970865329,0
