time_s,centered_signal,filtered_signal,is_peak
221.98000000000002,0.00582545862478557,0.04110899208219451,0
222.0,0.005825458624785652,0.04195989455876616,0
222.02,0.010273133043394023,0.042773850229396615,0
222.04,0.016203365601527256,0.04354857004339514,0
222.06,0.033769007011880056,0.04428182919250657,0
222.08,0.057460875291450546,0.04497148298771596,0
222.1,0.05016920862479078,0.0456154826131985,0
222.12,0.04287754195812066,0.046211890572487,0
222.14000000000001,0.03243260148192453,0.04675889564473013,0
222.16,0.020289744339077282,0.047254827180930305,0
222.18,0.02582545862478721,0.047698168584814404,0
222.20000000000002,0.03332545862479249,0.04808756983409056,0
222.22,0.04727545862478136,0.04842185890277638,0
222.24,0.06194212529145031,0.048700051946375035,0
222.26,0.06033765374674823,0.04892136211433892,0
222.28,0.0499718000882056,0.04908520686387216,0
222.3,0.04064364044296517,0.049191213667967415,0
222.32,0.03200727680660597,0.04923922403636464,1
222.34,0.04455879195811807,0.04922929579532896,0
222.36,0.05822545862478695,0.04916170359571265,0
222.38,0.0610615697358975,0.049036937637643795,0
222.4,0.059256014180339676,0.04885570061782911,0
222.42000000000002,0.04814688719619885,0.048618902926645294,0
222.44,0.03600403005335525,0.048327656148775704,0
222.46,0.024617125291450152,0.04798326495044391,0
222.48000000000002,0.020033791958114597,0.047587217462961406,0
222.5,0.032957037572150634,0.04714117429150244,0
222.52,0.04782545862478549,0.046646956287895405,0
222.54,0.048351774414258995,0.04610653122907249,0
222.56,0.04695045862477712,0.045521999544149844,0
222.58,0.028200458624772273,0.04489557923825098,0
222.6,0.009450458624794066,0.04422959017145991,0
222.62,0.011794208624785585,0.043526437862899836,0
222.64000000000001,0.0164817086247878,0.04278859699654146,0
222.66,0.02032545862478438,0.042018594802516615,0
222.68,0.023325458624786258,0.04121899447593535,0
222.70000000000002,0.03002058057601147,0.040392378778984536,0
222.72,0.03794740984429752,0.039541333956371924,0
222.74,0.03972545862478506,0.03866843408202371,0
222.76,0.03886831576764284,0.03777622594777706,0
222.78,0.024807165941853587,0.03686721460307782,0
222.8,0.01005106838086934,0.035943849657361464,0
222.82,9.871443874001802e-05,0.03500851246063278,0
