time_s,acc_x_centered_resampled,acc_y_centered_resampled,acc_z_centered_resampled,acc_x_filtered,acc_y_filtered,acc_z_filtered
25.62,-1.92289930015545,1.3199353291861087,-2.032447900466593,-1.3982934679674128,5.310821520220824,0.6883265769614031
25.64,-0.5198993001555436,0.09993532918610981,-3.1304479004665495,-1.4437941805055372,5.1263121676420225,0.44822269513874735
25.66,0.2731006998444627,4.918935329186127,-4.167447900466584,-1.4889514700821003,4.9368836698434855,0.20154637480301485
25.68,-3.3868993001555054,3.332935329186114,-6.119447900466582,-1.533629865675843,4.742836476278862,-0.051351564143029105
25.7,-2.166899300155478,2.2959353291861078,-5.3874479004665545,-1.5776954584897358,4.5444812928025184,-0.3100928360327604
25.72,2.123764361934124,4.658721515120472,-3.7483566102456134,-1.621016677538112,4.3421378735087774,-0.574273137510847
25.740000000000002,-2.4108993001555064,2.356935329186115,-2.7034479004665855,-1.6634650281513792,4.136133771494802,-0.8434636872546419
25.76,-3.6308993001555336,-0.6930646708138681,-2.215447900466586,-1.7049157892248856,3.9268030580026534,-1.1172128519242877
25.78,-4.850899300155447,-0.08306467081388291,-3.740447900466563,-1.7452486644465648,3.7144850197148673,-1.3950478547507819
25.8,-4.3628993001555045,2.6009353291861146,-4.167447900466584,-1.7843483822189923,3.499522844000873,-1.6764765641024568
25.82,-0.031899300155487254,4.491935329186106,-1.2394479004665868,-1.822105239135072,3.2822623012760253,-1.9609893593841217
25.84,1.4321006998444545,2.478935329186129,-1.9714479004665577,-1.8584155829438989,3.06305043248274,-2.2480610710615663
25.86,-4.606899300155533,1.8079353291861082,-3.4354479004665563,-1.8931822323712295,2.842234248766198,-2.5371529906850916
25.88,-10.706899300155442,-0.3270646708138827,-8.010447900466545,-1.9263148320280747,2.620159450323733,-2.827714945425483
25.900000000000002,-6.433608281428226,0.298925808399748,-7.0201029306165506,-1.9577301408582912,2.3971691720064956,-3.119187429882165
25.92,0.9165243238418198,2.290503047184126,-8.802580244312994,-1.9873522532494843,2.173602763829974,-3.411003786363289
25.94,0.5171006998444909,2.6009353291861146,-6.7904479004665745,-2.0151127541258163,1.9497946146023146,-3.7025924242690245
25.96,-3.569899300155498,-2.035064670813881,-4.411447900466555,-2.0409508125118467,1.726073026543384,-3.9933790699156058
25.98,-6.619899300155453,-2.279064670813881,-2.3984479004665786,-2.0648132204572374,1.5027591485007328,-4.282789039608987
26.0,-4.0999359610428145,-1.6080646708138886,-1.9361730676681983,-2.0866543849721833,1.2801659752522774,-4.570249530019421
26.02,0.11137679219333585,1.1790568708767513,-12.76437425039973,-2.106436280636002,1.0585974199324806,-4.855191919980384
26.04,0.29265381168538185,1.247603087733653,-11.478713225687084,-2.124128371036045,0.8383474654392189,-5.137054076491563
26.060000000000002,2.042100699844468,-3.8650646708138936,0.6515520995334327,-2.139707508117648,0.6196993991103574,-5.4152826558217635
26.080000000000002,0.5171006998444909,-6.732064670813884,-3.191447900466585,-2.153157818738606,0.4029251336793913,-5.689335389485866
26.1,-0.3222512133828589,-1.0380941977790716,-8.436455432856764,-2.164470586344456,0.18828461657847306,-5.958683344636749
26.12,-2.8343373202414797,4.111241068067751,-14.307547039634946,-2.1736441328382408,-0.023974671658598012,-6.222813147771772
26.14,-2.7158993001554563,5.650935329186126,-15.452447900466552,-2.180683702247806,-0.2336181311776473,-6.481229158898835
26.16,-9.730899300155443,-6.732064670813884,-5.3874479004665545,-2.1856013446682923,-0.44042437185567707,-6.733455581731514
26.18,-5.277899300155468,-7.647064670813876,-2.1544479004665504,-2.1884157969750646,-0.6441854609171713,-6.979038495839291
26.2,-0.5198993001555436,-3.4990646708138797,-4.228447900466563,-2.189152356483017,-0.8447070911716303,-7.217547798775082
26.22,3.833920692973841,-0.2280313489316047,-8.833678977987919,-2.187842745041118,-1.0418086711014345,-7.448579047852148
26.240000000000002,2.448176101365332,0.012864661392242849,-12.130015609681083,-2.1845249629828984,-1.2353233390470133,-7.671755190578583
26.26,-1.3738993001554718,-2.889064670813866,-13.195447900466547,-2.1792431331625535,-1.4250979059491002,-7.886728170122001
