time_s,time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x_centered,acc_y_centered,acc_z_centered
44.148186,247779199,-924.943,-212.463,312.381,8.38610069984452,-9.599064670813874,21.5135520995334
44.158135,247789148,-924.943,-212.463,312.381,8.38610069984452,-9.599064670813874,21.5135520995334
44.164316,247795329,-927.688,-206.119,310.673,5.641100699844515,-3.25506467081388,19.80555209953343
44.167923,247798936,-927.688,-206.119,310.673,5.641100699844515,-3.25506467081388,19.80555209953343
44.177863,247808876,-927.688,-206.119,310.673,5.641100699844515,-3.25506467081388,19.80555209953343
44.181074,247812087,-928.725,-210.389,306.525,4.60410069984448,-7.52506467081389,15.657552099533405
44.187777,247818790,-928.725,-210.389,306.525,4.60410069984448,-7.52506467081389,15.657552099533405
44.197728,247828741,-928.725,-210.389,306.525,4.60410069984448,-7.52506467081389,15.657552099533405
44.198085,247829098,-924.333,-210.877,309.575,8.996100699844533,-8.01306467081389,18.707552099533416
44.20761,247838623,-924.333,-210.877,309.575,8.996100699844533,-8.01306467081389,18.707552099533416
44.214726,247845739,-921.771,-210.145,313.54,11.558100699844545,-7.28106467081389,22.672552099533448
44.217516,247848529,-921.771,-210.145,313.54,11.558100699844545,-7.28106467081389,22.672552099533448
44.227613,247858626,-921.771,-210.145,313.54,11.558100699844545,-7.28106467081389,22.672552099533448
44.231622,247862635,-920.856,-212.036,316.529,12.473100699844508,-9.172064670813882,25.661552099533424
44.237653,247868666,-920.856,-212.036,316.529,12.473100699844508,-9.172064670813882,25.661552099533424
44.247458,247878471,-920.856,-212.036,316.529,12.473100699844508,-9.172064670813882,25.661552099533424
44.248354,247879367,-924.699,-209.535,315.553,8.630100699844547,-6.671064670813877,24.685552099533425
44.257475,247888488,-924.699,-209.535,315.553,8.630100699844547,-6.671064670813877,24.685552099533425
44.265265,247896278,-926.163,-209.108,314.272,7.166100699844492,-6.244064670813884,23.40455209953342
44.267381,247898394,-926.163,-209.108,314.272,7.166100699844492,-6.244064670813884,23.40455209953342
44.277185,247908198,-926.163,-209.108,314.272,7.166100699844492,-6.244064670813884,23.40455209953342
44.28202,247913033,-927.749,-210.755,310.612,5.580100699844479,-7.891064670813876,19.74455209953345
44.287116,247918129,-927.749,-210.755,310.612,5.580100699844479,-7.891064670813876,19.74455209953345
44.29707,247928083,-927.749,-210.755,310.612,5.580100699844479,-7.891064670813876,19.74455209953345
44.298911,247929924,-927.688,-210.389,310.551,5.641100699844515,-7.52506467081389,19.683552099533415
44.306974,247937987,-927.688,-210.389,310.551,5.641100699844515,-7.52506467081389,19.683552099533415
44.315702,247946715,-927.932,-209.84,309.148,5.397100699844486,-6.976064670813884,18.280552099533452
44.316863,247947876,-927.932,-209.84,309.148,5.397100699844486,-6.976064670813884,18.280552099533452
44.326848,247957861,-927.932,-209.84,309.148,5.397100699844486,-6.976064670813884,18.280552099533452
44.332514,247963527,-923.784,-208.803,309.88,9.545100699844511,-5.9390646708138775,19.012552099533423
44.336789,247967802,-923.784,-208.803,309.88,9.545100699844511,-5.9390646708138775,19.012552099533423
44.346729,247977742,-923.784,-208.803,309.88,9.545100699844511,-5.9390646708138775,19.012552099533423
44.349389,247980402,-921.405,-208.437,311.344,11.92410069984453,-5.573064670813892,20.47655209953342
44.356638,247987651,-921.405,-208.437,311.344,11.92410069984453,-5.573064670813892,20.47655209953342
44.366175,247997188,-923.601,-208.559,310.307,9.728100699844504,-5.695064670813878,19.439552099533444
44.366525,247997538,-923.601,-208.559,310.307,9.728100699844504,-5.695064670813878,19.439552099533444
44.376459,248007472,-923.601,-208.559,310.307,9.728100699844504,-5.695064670813878,19.439552099533444
44.383034,248014047,-928.481,-209.901,309.636,4.848100699844508,-7.037064670813891,18.76855209953345
44.386364,248017377,-928.481,-209.901,309.636,4.848100699844508,-7.037064670813891,18.76855209953345
44.396308,248027321,-928.481,-209.901,309.636,4.848100699844508,-7.037064670813891,18.76855209953345
44.399793,248030806,-928.481,-209.901,309.636,4.848100699844508,-7.037064670813891,18.76855209953345
44.399977,248030990,-929.396,-209.901,309.209,3.9331006998445446,-7.037064670813891,18.34155209953343
44.406253,248037266,-929.396,-209.901,309.209,3.9331006998445446,-7.037064670813891,18.34155209953343
44.416053,248047066,-929.396,-209.901,309.209,3.9331006998445446,-7.037064670813891,18.34155209953343
44.416679,248047692,-925.736,-207.644,310.124,7.593100699844513,-4.780064670813886,19.25655209953345
44.425958,248056971,-925.736,-207.644,310.124,7.593100699844513,-4.780064670813886,19.25655209953345
44.433472,248064485,-921.832,-207.705,313.052,11.497100699844509,-4.841064670813893,22.184552099533448
44.436,248067013,-921.832,-207.705,313.052,11.497100699844509,-4.841064670813893,22.184552099533448
44.445823,248076836,-921.832,-207.705,313.052,11.497100699844509,-4.841064670813893,22.184552099533448
44.450368,248081381,-924.516,-210.572,311.527,8.81310069984454,-7.708064670813883,20.659552099533414
44.455737,248086750,-924.516,-210.572,311.527,8.81310069984454,-7.708064670813883,20.659552099533414
44.465694,248096707,-924.516,-210.572,311.527,8.81310069984454,-7.708064670813883,20.659552099533414
44.46713,248098143,-927.932,-211.548,309.636,5.397100699844486,-8.684064670813882,18.76855209953345
44.475614,248106627,-927.932,-211.548,309.636,5.397100699844486,-8.684064670813882,18.76855209953345
44.483959,248114972,-924.089,-208.681,309.087,9.240100699844447,-5.817064670813892,18.219552099533416
44.485536,248116549,-924.089,-208.681,309.087,9.240100699844447,-5.817064670813892,18.219552099533416
44.495483,248126496,-924.089,-208.681,309.087,9.240100699844447,-5.817064670813892,18.219552099533416
44.50086,248131873,-918.721,-205.692,311.832,14.608100699844499,-2.8280646708138875,20.96455209953342
44.505411,248136424,-918.721,-205.692,311.832,14.608100699844499,-2.8280646708138875,20.96455209953342
44.515229,248146242,-918.721,-205.692,311.832,14.608100699844499,-2.8280646708138875,20.96455209953342
44.517633,248148646,-923.54,-207.4,312.747,9.78910069984454,-4.536064670813886,21.87955209953344
44.525146,248156159,-923.54,-207.4,312.747,9.78910069984454,-4.536064670813886,21.87955209953344
44.534417,248165430,-923.54,-207.4,312.747,9.78910069984454,-4.536064670813886,21.87955209953344
44.534601,248165614,-929.823,-210.267,313.296,3.5061006998445237,-7.403064670813876,22.42855209953342
44.535058,248166071,-929.823,-210.267,313.296,3.5061006998445237,-7.403064670813876,22.42855209953342
44.545013,248176026,-929.823,-210.267,313.296,3.5061006998445237,-7.403064670813876,22.42855209953342
44.551313,248182326,-932.324,-208.437,309.331,1.0051006998445473,-5.573064670813892,18.463552099533445
44.554928,248185941,-932.324,-208.437,309.331,1.0051006998445473,-5.573064670813892,18.463552099533445
44.564884,248195897,-932.324,-208.437,309.331,1.0051006998445473,-5.573064670813892,18.463552099533445
44.568074,248199087,-932.324,-208.437,309.331,1.0051006998445473,-5.573064670813892,18.463552099533445
44.568257,248199270,-927.749,-205.631,309.88,5.580100699844479,-2.7670646708138804,19.012552099533423
44.574809,248205822,-927.749,-205.631,309.88,5.580100699844479,-2.7670646708138804,19.012552099533423
44.584637,248215650,-927.749,-205.631,309.88,5.580100699844479,-2.7670646708138804,19.012552099533423
44.584993,248216006,-926.163,-203.679,310.368,7.166100699844492,-0.8150646708138822,19.500552099533422
44.594532,248225545,-926.163,-203.679,310.368,7.166100699844492,-0.8150646708138822,19.500552099533422
44.601787,248232800,-923.601,-207.095,315.736,9.728100699844504,-4.231064670813879,24.868552099533417
44.60458,248235593,-923.601,-207.095,315.736,9.728100699844504,-4.231064670813879,24.868552099533417
44.614391,248245404,-923.601,-207.095,315.736,9.728100699844504,-4.231064670813879,24.868552099533417
44.618678,248249691,-926.041,-207.644,318.664,7.288100699844449,-4.780064670813886,27.796552099533415
44.624317,248255330,-926.041,-207.644,318.664,7.288100699844449,-4.780064670813886,27.796552099533415
44.634273,248265286,-926.041,-207.644,318.664,7.288100699844449,-4.780064670813886,27.796552099533415
44.63544,248266453,-931.592,-211.731,305.671,1.7371006998445182,-8.867064670813875,14.80355209953342
44.644165,248275178,-931.592,-211.731,305.671,1.7371006998445182,-8.867064670813875,14.80355209953342
44.652231,248283244,-923.052,-199.653,311.283,10.277100699844482,3.2109353291861282,20.415552099533443
44.654065,248285078,-923.052,-199.653,311.283,10.277100699844482,3.2109353291861282,20.415552099533443
