seconds,data
23.998,0.3169999999999999
24.047,0.3255
24.088,0.3254999999999999
24.118,0.33725
24.155,0.3209999999999999
24.205,0.3195
24.251,0.33875
24.28,0.3037499999999998
24.321,0.3179999999999999
24.365,0.36
24.41,0.3299999999999999
24.439,0.3385
24.488,0.33575
24.528,0.3345
24.579,0.3512499999999999
24.598,0.36125
24.647,0.3315
24.676,0.3324999999999999
24.727,0.376
24.768,0.3817499999999999
24.8,0.3544999999999999
24.838,0.3544999999999999
24.875,0.3165
24.928,0.3535
24.965,0.3572499999999999
24.999,0.3709999999999999
25.05,0.3532499999999999
25.095,0.3787499999999999
25.116,0.356
25.166,0.3572499999999999
25.198,0.3705
25.252,0.3614999999999999
25.288,0.3700000000000001
25.318,0.3642499999999999
25.368,0.3562499999999999
25.398,0.38225
25.443,0.35175
25.489,0.3624999999999999
25.521,0.3864999999999999
25.565,0.3834999999999999
25.595,0.3815
25.639,0.4089999999999999
25.689,0.38825
25.719,0.40675
25.771,0.3674999999999999
25.8,0.3672499999999999
25.838,0.3742500000000002
25.902,0.416
25.917,0.3954999999999999
25.964,0.38425
26.015,0.3872500000000001
26.037,0.4137499999999999
26.077,0.4135000000000001
26.121,0.4117499999999999
26.168,0.4167499999999999
26.197,0.4045000000000001
26.248,0.3939999999999999
26.278,0.3847500000000001
26.318,0.39275
26.358,0.3937500000000001
26.402,0.4155
26.446,0.3864999999999999
26.487,0.4115
26.52,0.3732499999999999
26.56,0.3987499999999999
26.613,0.3842499999999998
26.642,0.4274999999999999
26.688,0.4012499999999999
26.72,0.3935
26.766,0.3965000000000001
26.803,0.427
26.835,0.3977499999999998
26.879,0.417
26.916,0.4062500000000001
26.969,0.41175
27.006,0.4067499999999999
27.038,0.3924999999999999
27.079,0.4152500000000001
27.121,0.39675
27.158,0.39225
27.222,0.39925
27.241,0.40775
27.256,0.3912500000000001
27.344,0.41025
27.359,0.3652499999999999
27.373,0.36475
27.396,0.3774999999999999
27.435,0.4100000000000001
27.487,0.366
27.519,0.3704999999999999
27.566,0.369
27.599,0.3725
27.638,0.34275
27.688,0.3605
27.719,0.3675
27.762,0.3839999999999999
27.81,0.3824999999999998
27.841,0.34025
27.883,0.3835
27.94,0.3474999999999999
27.957,0.3754999999999999
28.009,0.364
28.056,0.356
28.084,0.34375
28.117,0.3522499999999999
28.156,0.34375
28.209,0.3514999999999999
28.239,0.33225
28.283,0.32125
28.325,0.3289999999999999
28.357,0.3279999999999999
28.397,0.3312499999999999
28.44,0.32875
28.486,0.3412499999999999
28.532,0.3175000000000001
28.563,0.3035
28.605,0.33375
28.654,0.3057499999999999
28.675,0.3117499999999999
28.723,0.3407499999999999
28.756,0.3259999999999999
28.802,0.3392499999999999
28.849,0.3572499999999999
28.883,0.3095000000000001
28.918,0.31525
28.959,0.311
29.012,0.3335
29.038,0.306
29.078,0.314
29.126,0.3249999999999999
29.16,0.32025
29.205,0.3365
29.255,0.3195
29.279,0.3229999999999999
29.328,0.32925
29.371,0.3165
29.396,0.3205
29.444,0.3085
29.478,0.2975
29.526,0.31875
29.569,0.3295
29.596,0.3125
29.641,0.3279999999999999
29.68,0.3525000000000001
29.727,0.3262499999999999
29.762,0.3209999999999999
29.804,0.3255
29.847,0.362
29.879,0.33825
29.918,0.323
29.981,0.32
29.997,0.3229999999999999
30.047,0.2989999999999999
30.091,0.3045
30.119,0.2835
30.168,0.30125
30.199,0.3075
30.248,0.316
30.275,0.32575
30.326,0.318
30.366,0.3087499999999999
30.397,0.3067499999999999
30.447,0.3289999999999999
30.476,0.3554999999999999
30.527,0.3430000000000001
30.571,0.3225
30.603,0.331
30.64,0.34625
30.7,0.34625
30.717,0.3262499999999999
30.761,0.35775
30.799,0.3392499999999999
30.838,0.35175
30.878,0.3155
30.922,0.3414999999999999
30.96,0.3315
30.997,0.32325
31.043,0.315
31.079,0.32125
31.119,0.3207500000000001
31.172,0.3704999999999999
31.203,0.3542499999999999
31.238,0.3299999999999999
31.299,0.2985
31.319,0.33075
31.368,0.319
31.42,0.3400000000000001
31.435,0.2992500000000001
31.487,0.34275
31.516,0.3625
